Site;Depth;Volume;Age
AZL;0;1;2012.89
AZL;1;1;2011.82
AZL;2;1;2010.749
AZL;3;1;2008.64
AZL;4;1;2006.764
AZL;5;1;2005.419
AZL;6;1;2004.065
AZL;7;1;2002.876
AZL;8;1;2001.722
AZL;9;1;1999.624
AZL;10;1;1997.635
AZL;11;1;1995.648
AZL;12;1;1993.622
AZL;13;1;1990.926
AZL;14;1;1988.219
AZL;15;1;1985.601
AZL;16;1;1983.03
AZL;17;1;1979.759
AZL;18;1;1976.762
AZL;19;1;1973.513
AZL;20;1;1970.197
AZL;21;1;1967.315
AZL;22;1;1964.631
AZL;23;1;1961.807
AZL;24;1;1959.234
AZL;25;1;1954.653
AZL;26;1;1950.491
AZL;27;1;1947.617
AZL;28;1;1944.756
AZL;29;1;1940.421
AZL;30;1;1935.846
AZL;31;1;1932.698
AZL;32;1;1929.644
DTO;0;1;2012.9
DTO;1;1;2012.3
DTO;2;1;2011.6
DTO;3;1;2010.6
DTO;4;1;2008.9
DTO;5;1;2006.6
DTO;6;1;2003.9
DTO;7;1;2001.1
DTO;8;1;1998
DTO;9;1;1994.5
DTO;10;1;1991.5
DTO;11;1;1988.1
DTO;12;1;1984.3
DTO;13;1;1980.6
DTO;14;1;1976.4
DTO;15;1;1971.8
DTO;16;1;1966.5
DTO;17;1;1961.5
DTO;18;1;1957
DTO;19;1;1949.9
DTO;20;1;1942.2
DTO;21;1;1934.6
GRO;0;1;2012
GRO;1;1;2011.817081
GRO;2;1;2011.627311
GRO;3;1;2011.398739
GRO;4;1;2011.131367
GRO;5;1;2010.825194
GRO;6;1;2010.475246
GRO;7;1;2010.081524
GRO;8;1;2009.644028
GRO;9;1;2009.162758
GRO;10;1;2008.637714
GRO;11;1;2008.041177
GRO;12;1;2007.373148
GRO;13;1;2006.633627
GRO;14;1;2005.822613
GRO;15;1;2004.997945
GRO;16;1;2004.159623
GRO;17;1;2003.307646
GRO;18;1;2002.442014
GRO;19;1;2001.562728
GRO;20;1;2000.669788
GRO;21;1;1999.763193
GRO;22;1;1998.842943
GRO;23;1;1997.921879
GRO;24;1;1997
BOC;0;1;2020.9
BOC;1;1;2020
BOC;2;1;2019.1
BOC;3;1;2017.3
BOC;4;1;2015.6
BOC;5;1;2008.7
BOC;6;1;2001.9
BOC;7;1;1997.1
BOC;8;1;1992.3
BOC;9;1;1985.8
BOC;10;1;1980.1
BOC;11;1;1974.2
BOC;12;1;1968.4
BOC;13;1;1963.5
BOC;14;1;1958.8
BOC;15;1;1953.9
BOC;16;1;1948.7
BOC;17;1;1945.7
BOC;18;1;1942.5
BOC;19;1;1938.7
BOC;20;1;1935.1
BOC;21;1;1928.8
BOC;22;1;1922.8
BOC;23;1;1913.7
BOC;24;1;1904.8
BOC;25;1;1895.9
BOC;26;1;1887.8
BOC;27;1;1878.3
BOC;28;1;1869.3
BOC;29;1;1858.9
BOC;30;1;1849.4
BOC;31;1;1839.3
BOC;32;1;1829.2
BOC;33;1;1819.5
BOC;34;1;1809.5
BOC;35;1;1799.6
BOC;36;1;1790.4
BOC;37;1;1780.5
BOC;38;1;1770.4
BOC;39;1;1759.4
BOC;40;1;1749
NAP;0;1;2020.9
NAP;1;1;2020.4
NAP;2;1;2019.9
NAP;3;1;2019.4
NAP;4;1;2018.9
NAP;5;1;2018.4
NAP;6;1;2018
NAP;7;1;2017.5
NAP;8;1;2017
NAP;9;1;2016.6
NAP;10;1;2016.2
NAP;11;1;2015.6
NAP;12;1;2015.1
NAP;13;1;2014.4
NAP;14;1;2013.7
NAP;15;1;2013
NAP;16;1;2012.3
NAP;17;1;2011.5
NAP;18;1;2010.8
NAP;19;1;2010.1
NAP;20;1;2009.3
NAP;21;1;2008.5
NAP;22;1;2007.6
NAP;23;1;2006.6
NAP;24;1;2005.7
NAP;25;1;2004.9
NAP;26;1;2004
NAP;27;1;2003.1
NAP;28;1;2002.2
NAP;29;1;2001.2
NAP;30;1;2000.3
NAP;31;1;1999.5
NAP;32;1;1998.7
NAP;33;1;1998.1
NAP;34;1;1997.5
NAP;35;1;1996.9
NAP;36;1;1996.3
NAP;37;1;1995.5
NAP;38;1;1994.8
NAP;39;1;1994.1
NAP;40;1;1993.4
NAP;41;1;1992.8
NAP;42;1;1992.1
NAP;43;1;1991.6
NAP;44;1;1991
NAP;45;1;1990.5
NAP;46;1;1990
NAP;47;1;1989.4
NAP;48;1;1988.8
NAP;49;1;1988.2
NAP;50;1;1987.5
NAP;51;1;1986.8
NAP;52;1;1986
NAP;53;1;1985.2
NAP;54;1;1984.3
NAP;55;1;1983.6
NAP;56;1;1982.8
NAP;57;1;1982.2
NAP;58;1;1981.6
NAP;59;1;1981.1
NAP;60;1;1980.6
NAP;61;1;1980
NAP;62;1;1979.5
NAP;63;1;1979.1
NAP;64;1;1978.6
NAP;65;1;1978
NAP;66;1;1977.4
NAP;67;1;1976.6
NAP;68;1;1975.8
NAP;69;1;1974.6
NAP;70;1;1973.4
NAP;71;1;1972.4
NAP;72;1;1971.4
NIAK;0;1;2020.92
NIAK;1;1;2020.756
NIAK;2;1;2020.592
NIAK;3;1;2020.429
NIAK;4;1;2020.203
NIAK;5;1;2019.974
NIAK;6;1;2019.753
NIAK;7;1;2019.197
NIAK;8;1;2018.645
NIAK;9;1;2018.095
NIAK;10;1;2017.267
NIAK;11;1;2016.543
NIAK;12;1;2015.846
NIAK;13;1;2015.019
NIAK;14;1;2014.177
NIAK;15;1;2013.347
NIAK;16;1;2012.367
NIAK;17;1;2011.363
NIAK;18;1;2010.369
NIAK;19;1;2009.408
NIAK;20;1;2008.361
NIAK;21;1;2007.355
NIAK;22;1;2006.281
NIAK;23;1;2005.235
NIAK;24;1;2004.18
NIAK;25;1;2003.054
NIAK;26;1;2001.855
NIAK;27;1;2000.789
NIAK;28;1;1998.915
NIAK;29;1;1997.077
NIAK;30;1;1995.229
NIAK;31;1;1994.189
NIAK;32;1;1993.169
NIAK;33;1;1992.131
NIAK;34;1;1991.174
NIAK;35;1;1990.173
NIAK;36;1;1989.157
NIAK;37;1;1988.144
NIAK;38;1;1987.108
NIAK;39;1;1986.039
NIAK;40;1;1985.075
NIAK;41;1;1984.087
NIAK;42;1;1983.141
NIAK;43;1;1982.145
NIAK;44;1;1981.078
NIAK;45;1;1980.102
NIAK;46;1;1979.085
NIAK;47;1;1978.081
NIAK;48;1;1977.028
NIAK;49;1;1975.986
NIAK;50;1;1975.073
NIAK;51;1;1974.064
NIAK;52;1;1973.121
NIAK;53;1;1972.143
NIAK;54;1;1971.2
NIAK;55;1;1970.263
NIAK;56;1;1969.288
NIAK;57;1;1968.307
NIAK;58;1;1967.332
NIAK;59;1;1966.277
NIAK;60;1;1965.201
NIAK;61;1;1964.23
NIAK;62;1;1963.213
NIAK;63;1;1962.229
NIAK;64;1;1961.273
NIAK;65;1;1960.272
NIAK;66;1;1959.24
NIAK;67;1;1958.308
NIAK;68;1;1957.384
NIAK;69;1;1956.431
NIAK;70;1;1955.53
NIAK;71;1;1954.599
NIAK;72;1;1953.577
NIAK;73;1;1983.961
NIAK;74;1;1982.839
NIAK;75;1;1981.706
NIAK;76;1;1980.632
NIAK;77;1;1979.578
NIAK;78;1;1978.54
NIAK;79;1;1977.405
NIAK;80;1;1976.319
NIAK;81;1;1975.266
NIAK;82;1;1974.205
NIN;0;1;2020.92
NIN;1;1;2020.668
NIN;2;1;2020.425
NIN;3;1;2020.177
NIN;4;1;2019.912
NIN;5;1;2019.591
NIN;6;1;2019.105
NIN;7;1;2018.559
NIN;8;1;2017.935
NIN;9;1;2017.164
NIN;10;1;2016.432
NIN;11;1;2015.956
NIN;12;1;2015.448
NIN;13;1;2014.698
NIN;14;1;2013.85
NIN;15;1;2012.979
NIN;16;1;2012.027
NIN;17;1;2011.017
NIN;18;1;2010.006
NIN;19;1;2009.055
NIN;20;1;2008.135
NIN;21;1;2007.198
NIN;22;1;2006.23
NIN;23;1;2005.214
NIN;24;1;2004.169
NIN;25;1;2003.173
NIN;26;1;2002.236
NIN;27;1;2001.339
NIN;28;1;2000.476
NIN;29;1;1999.571
NIN;30;1;1998.441
NIN;31;1;1996.902
NIN;32;1;1994.232
NIN;33;1;1990.971
NIN;34;1;1989.573
NIN;35;1;1988.427
NIN;36;1;1987.288
NIN;37;1;1986.175
NIN;38;1;1985.081
NIN;39;1;1983.961
NIN;40;1;1982.839
NIN;41;1;1981.706
NIN;42;1;1980.632
NIN;43;1;1979.578
NIN;44;1;1978.54
NIN;45;1;1977.405
NIN;46;1;1976.319
NIN;47;1;1975.266
NIN;48;1;1974.205
NON;0;1;2020.9
NON;1;1;2020.5
NON;2;1;2020.1
NON;3;1;2019.7
NON;4;1;2019
NON;5;1;2018.3
NON;6;1;2017.7
NON;7;1;2017.1
NON;8;1;2016.4
NON;9;1;2015.8
NON;10;1;2015.1
NON;11;1;2014.3
NON;12;1;2013.6
NON;13;1;2012.8
NON;14;1;2012
NON;15;1;2011.3
NON;16;1;2010.6
NON;17;1;2009.8
NON;18;1;2009.1
NON;19;1;2008.5
NON;20;1;2007.8
NON;21;1;2007.1
NON;22;1;2006.6
NON;23;1;2006
NON;24;1;2005.4
NON;25;1;2004.9
NON;26;1;2004.3
NON;27;1;2003.7
NON;28;1;2003.1
NON;29;1;2002.4
NON;30;1;2001.8
NON;31;1;2001.1
NON;32;1;2000.4
NON;33;1;1999.7
NON;34;1;1999.2
NON;35;1;1998.7
NON;36;1;1998.2
NON;37;1;1997.7
NON;38;1;1997.2
NON;39;1;1996.7
NON;40;1;1996.1
NON;41;1;1995.6
NON;42;1;1995
NON;43;1;1994.4
NON;44;1;1993.9
NON;45;1;1993.4
NON;46;1;1992.9
NON;47;1;1992.3
NON;48;1;1991.8
NON;49;1;1991.5
NON;50;1;1991.2
NON;51;1;1990.9
NON;52;1;1990.6
NON;53;1;1990.3
NON;54;1;1990
NON;55;1;1989.3
NON;56;1;1988.6
NON;57;1;1987.9
NON;58;1;1987.3
NON;59;1;1986.6
NON;60;1;1986.1
NON;61;1;1985.5
NON;62;1;1984.9
NON;63;1;1984.3
NON;64;1;1983.8
NON;65;1;1983.2
NON;66;1;1982.6
NON;67;1;1982
NON;68;1;1981.4
NON;69;1;1980.9
NON;70;1;1980.3
NON;71;1;1979.8
NON;72;1;1979.2
NON;73;1;1978.7
NON;74;1;1978.1
NON;75;1;1977.5
NON;76;1;1977
NON;77;1;1976.4
NON;78;1;1975.9
NON;79;1;1975.3
NON;80;1;1974.7
NON;81;1;1974.2
NON;82;1;1973.7
NON;83;1;1973.1
NON;84;1;1972.6
NON;85;1;1972.1
NON;86;1;1971.5
NON;87;1;1971
NON;88;1;1970.5
NON;89;1;1970
NON;90;1;1969.4
DINA;0;1;2013.492
DINA;1;1;2009.819918
