Depth;Total_counts;Total_terrestrial_pollen;Pourc_Arbres;Pourc_Pionniers;Pourc_Te;Pourc_Evergreen;Pourc_Raingreen;P_Poaceae_Charly;Acanthaceae undiff.;Adenia;Adiantaceae;Zanthoxylum;Afzelia;Aizoaceae undiff.;Albizia-type;Alchornea;Alismataceae undiff.;Allophylus-type;Alstonia congensis;Amaranthaceae/Chenopodiaceae/Caryophyllaceae undiff.;Anacardiaceae undiff.;Annonaceae undiff.;Anthocleista;Antidesma;Aphania senegalensis;Landolphia;Apocynaceae undiff.;Arecaceae undiff.;Asteraceae undiff.;Baissea;Balanites;Berlinia;Blighia;Bombax;Borassus;Borreria;Brassicaceae undiff.;Bridelia;Burseraceae undiff.;Caesalpiniaceae undiff.;Canarium;Canthium;Capparis;Cardiospermum;Cassia;Ceiba pentandra;Celtis;Ceratopteris;Cissus;Clematis;Cnestis;Cola;Combretaceae/Melastomataceae undiff.;Commelina;Convolvulaceae undiff.;Cordia;Croton;Crudia;Cucurbitaceae undiff.;Araliaceae undiff.;Cyclosoris;Cynometra;Cyperaceae undiff.;Dalbergia;Daniellia;Desmodium;Dialium;Diospyros;Dolichos;Drepanocarpus;Drypetes;Eichornea;Elaeis guineensis;Ericaceae;Erythrococca;Eugenia;Euphorbiaceae undiff.;Fabaceae undiff.;Flabellaria;Flacourtiaceae;Gaertnera;Glyphaea brevis;Holoptelea grandis;Hymenocardia;Indeterminate;Ipomoea;Irvingia;Ixora;Justicia;Meliaceae undiff.;Labiatae;Leonotis-type;Lactuceae;Lannea;Lasiodiscus;Laurembergia;Loranthaceae;Ludwigia;Macaranga;Mallotus;Malvaceae undiff.;Mansonia;Menispermaceae undiff.;Mimosa pigra;Mimosaceae undiff.;Mitracarpus;Mitragyna inermis;Monocotyledoneae undiff.;Morelia senegalensis;Morinda;Mussaenda;Nauclea-type;Neptunia oleracea;Nesogordonia;Nymphaea;Olea;Ouratea;Parinari;Passifloraceae undiff.;Paullinia pinnata;Pentadesma;Pentodon pentandrus;Periplocaceae cf. Zacateza pedicellata;Phoenix reclinata;Phyllanthus;Piptadeniastrum africanum;Poaceae undiff.;Podocarpus;Polygala;Persicaria;Portulaca;Protea;Pterocarpus;Monolete;Trilete;Pycnanthus;Raphia;Rhizophora;Rothmannia;Rubiaceae undiff.;Saba;Salviniaceae undiff.;Sapindaceae undiff.;Sapotaceae undiff.;Securinega virosa;Solanum;Sterculia;Syzygium;Tetrapleura;Triplochiton scleroxylon;Typha;Uapaca;Unknown;Urticaceae;Verbenaceae;Vismia;Vitex;Ficus;Moraceae undiff.;Antiaris;Musanga;Clausena;Afraegle
1;855;242;7.851239669;47.36842105;0;63.15789474;21.05263158;77.68595041;1;0;0;0;0;0;0;1;0;0;0;7;0;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;46;0;501;0;0;0;0;0;0;3;0;2;2;0;0;0;6;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;1;0;0;0;6;0;3;0;0;0;2;0;0;0;2;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;188;0;0;4;1;0;0;2;2;0;0;1;0;0;0;0;1;5;3;0;0;0;0;0;1;0;11;0;0;0;0;1;0;0;0;0;0
22;1178;387;14.72868217;29.8245614;0;56.14035088;22.80701754;74.41860465;0;0;0;0;0;0;0;2;0;0;0;10;0;0;0;3;0;0;1;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;3;0;0;0;0;2;0;0;0;0;0;0;0;135;1;617;0;0;0;0;1;0;8;0;0;8;0;0;0;0;5;0;0;0;0;0;0;10;1;0;0;0;0;5;0;0;2;0;0;1;3;0;2;0;0;0;5;0;0;11;8;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;288;0;0;2;0;0;6;0;0;0;0;0;0;0;0;5;0;3;1;0;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0
41;1199;866;3.11778291;51.85185185;0;74.07407407;0;93.99538106;1;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;26;0;240;0;0;0;0;0;0;1;0;0;12;0;0;0;0;2;0;0;0;0;0;0;6;1;0;0;0;0;3;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;27;1;0;0;0;0;0;0;0;0;0;0;814;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;4;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
61;956;560;15.35714286;34.88372093;0;68.60465116;17.44186047;83.39285714;0;0;0;1;0;0;0;14;0;1;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;5;3;0;1;0;0;3;0;0;0;0;0;0;0;237;0;115;0;0;0;0;0;0;0;0;0;10;0;0;0;1;2;0;1;0;0;0;0;13;0;0;0;0;2;0;0;0;0;0;0;2;5;1;5;0;0;0;0;1;1;8;1;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;467;0;0;1;0;0;3;0;0;0;0;1;0;0;0;1;0;29;0;0;0;0;0;0;1;0;3;0;0;0;0;2;0;0;0;0;0
92;915;430;35.81395349;16.23376623;0;87.66233766;6.493506494;61.39534884;4;0;0;0;0;0;0;14;0;0;0;3;0;2;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;5;0;1;36;1;0;0;0;4;0;0;0;0;0;0;0;139;0;268;0;0;0;2;1;0;0;0;0;5;0;0;1;1;2;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0;0;0;0;5;2;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;264;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;104;0;0;1;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0
113;815;409;43.27628362;28.24858757;0.564971751;63.27683616;22.59887006;53.54523227;1;0;0;0;0;0;0;11;0;0;0;2;0;1;1;0;0;0;0;0;5;2;0;2;0;0;0;0;0;1;0;4;0;0;1;0;1;0;15;35;0;2;1;0;8;2;0;0;0;0;0;0;59;5;267;0;2;0;3;2;0;0;0;0;3;0;0;0;1;3;0;2;0;0;0;0;10;1;0;2;0;0;0;0;0;4;0;0;0;5;1;6;0;0;0;2;0;0;2;3;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;1;0;0;219;0;0;0;0;0;2;1;0;2;0;1;0;3;0;3;0;79;1;0;1;0;0;1;1;0;5;0;0;0;0;8;0;0;0;0;1
145;912;608;41.61184211;48.22134387;1.976284585;54.94071146;33.59683794;57.73026316;1;2;0;3;0;0;0;15;1;2;0;0;0;0;0;2;0;0;0;0;1;5;0;0;0;0;1;1;0;2;0;0;0;0;0;0;4;0;55;6;2;1;0;2;11;0;0;0;0;0;0;0;91;2;142;0;0;0;4;5;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;3;13;0;0;2;0;0;1;0;0;0;0;0;0;3;1;11;0;0;0;1;0;0;2;6;8;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;351;0;0;0;0;0;0;3;1;0;2;4;0;1;0;0;0;86;0;0;2;2;0;0;1;2;13;0;0;0;1;19;0;0;0;0;0
167;601;432;52.08333333;42.22222222;0;60.44444444;25.77777778;45.60185185;0;3;0;7;0;0;0;11;0;0;1;2;1;2;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;21;5;0;4;0;0;7;0;0;0;0;1;0;0;59;3;56;0;1;0;1;0;0;0;0;0;14;0;0;3;1;5;1;3;1;0;1;0;13;0;0;0;0;0;0;0;0;2;1;0;1;1;4;10;0;0;0;1;0;0;3;3;2;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;197;0;0;0;0;0;0;3;0;1;0;2;0;0;0;1;2;81;1;0;3;4;0;0;1;0;5;3;0;0;0;18;3;3;1;0;0
192;895;656;42.5304878;49.10394265;1.792114695;72.04301075;12.54480287;54.87804878;1;1;0;8;0;0;0;14;0;1;0;5;0;0;0;2;0;0;0;2;1;3;0;0;0;0;1;0;0;3;0;13;0;0;1;0;3;0;17;0;1;2;0;0;9;0;0;0;0;0;0;0;86;3;91;0;0;0;2;0;0;3;0;0;32;0;0;2;0;7;0;0;0;0;4;4;11;0;0;0;0;0;0;4;0;2;0;0;2;2;5;35;0;0;1;0;0;0;1;7;15;0;0;5;0;0;0;0;0;1;0;0;0;3;0;0;0;0;360;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;89;1;0;1;1;0;0;0;0;15;1;0;0;0;2;0;1;1;0;0
212;800;556;49.82014388;44.40433213;0.722021661;54.87364621;28.5198556;48.74100719;0;1;0;17;0;0;0;16;0;1;0;3;1;0;0;0;0;0;2;2;2;5;0;0;0;0;0;0;0;0;0;6;0;1;1;0;2;0;39;4;0;2;0;0;1;0;0;0;0;0;0;0;101;6;78;0;1;0;0;1;0;0;0;0;9;0;0;2;0;3;0;4;0;0;6;0;23;0;0;2;0;0;0;0;1;2;0;0;0;0;4;7;0;0;0;1;0;0;16;0;6;0;0;6;0;0;3;0;1;0;1;0;0;1;0;0;1;2;271;0;0;0;0;0;1;1;0;0;0;3;0;1;0;0;2;82;0;0;1;2;0;0;1;0;9;2;0;0;2;26;0;1;1;0;0
