Depth;Age
0;-65.173
0.5;-61.652
1;-58.132
1.5;-54.611
2;-51.091
2.5;-47.57
3;-44.049
3.5;-40.529
4;-37.008
4.5;-33.488
5;-29.967
5.5;-26.447
6;-22.926
6.5;-19.406
7;-15.885
7.5;-12.364
8;-8.844
8.5;-5.323
9;-1.803
9.5;1.718
10;5.238
10.5;8.971
11;12.703
11.5;16.436
12;20.168
12.5;23.9
13;27.633
13.5;31.365
14;35.098
14.5;38.83
15;42.562
15.5;46.295
16;50.027
16.5;53.76
17;57.492
17.5;61.225
18;64.957
18.5;68.689
19;72.422
19.5;76.154
20;79.887
20.5;88.519
21;97.152
21.5;105.784
22;114.417
22.5;123.05
23;131.682
23.5;140.315
24;148.947
24.5;157.58
25;166.212
25.5;174.845
26;183.478
26.5;192.11
27;200.743
27.5;209.375
28;218.008
28.5;226.641
29;235.273
29.5;243.906
30;252.538
30.5;267.015
31;281.492
31.5;295.969
32;310.446
32.5;324.923
33;339.4
33.5;353.877
34;368.354
34.5;382.831
35;397.308
35.5;411.785
36;426.262
36.5;440.739
37;455.216
37.5;469.692
38;484.169
38.5;498.646
39;513.123
39.5;527.6
40;542.077
40.5;555.963
41;569.849
41.5;583.735
42;597.621
42.5;611.507
43;625.393
43.5;639.279
44;653.165
44.5;667.051
45;680.937
45.5;694.823
46;708.709
46.5;722.595
47;736.481
47.5;750.367
48;764.253
48.5;778.139
49;792.025
49.5;805.911
50;819.797
50.5;832.507
51;845.216
51.5;857.926
52;870.636
52.5;883.345
53;896.055
53.5;908.764
54;921.474
54.5;934.183
55;946.893
55.5;959.602
56;972.312
56.5;985.021
57;997.731
57.5;1010.441
58;1023.15
58.5;1035.86
59;1048.569
59.5;1061.279
60;1073.988
60.5;1081.47
61;1088.951
61.5;1096.433
62;1103.914
62.5;1111.396
63;1118.877
63.5;1126.359
64;1133.84
64.5;1141.322
65;1148.803
65.5;1156.285
66;1163.766
66.5;1171.248
67;1178.729
67.5;1186.211
68;1193.692
68.5;1201.174
69;1208.655
69.5;1216.137
70;1223.618
70.5;1227.635
71;1231.651
71.5;1235.667
72;1239.683
72.5;1243.699
73;1247.715
73.5;1251.731
74;1255.747
74.5;1259.763
75;1263.78
75.5;1267.796
76;1271.812
76.5;1275.828
77;1279.844
77.5;1283.86
78;1287.876
78.5;1291.892
79;1295.909
79.5;1299.925
80;1303.941
80.5;1308.168
81;1312.395
81.5;1316.621
82;1320.848
82.5;1325.075
83;1329.302
83.5;1333.529
84;1337.756
84.5;1341.983
85;1346.209
85.5;1350.436
86;1354.663
86.5;1358.89
87;1363.117
87.5;1367.344
88;1371.571
88.5;1375.798
89;1380.024
89.5;1384.251
90;1388.478
90.5;1392.743
91;1397.009
91.5;1401.274
92;1405.539
92.5;1409.804
93;1414.069
93.5;1418.334
94;1422.6
94.5;1426.865
95;1431.13
95.5;1435.395
96;1439.66
96.5;1443.926
97;1448.191
97.5;1452.456
98;1456.721
98.5;1460.986
99;1465.252
99.5;1469.517
100;1473.782
100.5;1478.44
101;1483.098
101.5;1487.756
102;1492.413
102.5;1497.071
103;1501.729
103.5;1506.387
104;1511.045
104.5;1515.703
105;1520.361
105.5;1525.019
106;1529.676
106.5;1534.334
107;1538.992
107.5;1543.65
108;1548.308
108.5;1552.966
109;1557.624
109.5;1562.282
110;1566.939
110.5;1571.891
111;1576.843
111.5;1581.795
112;1586.747
112.5;1591.698
113;1596.65
113.5;1601.602
114;1606.554
114.5;1611.505
115;1616.457
115.5;1621.409
116;1626.361
116.5;1631.313
117;1636.264
117.5;1641.216
118;1646.168
118.5;1651.12
119;1656.071
119.5;1661.023
120;1665.975
120.5;1673.707
121;1681.44
121.5;1689.172
122;1696.905
122.5;1704.637
123;1712.37
123.5;1720.102
124;1727.834
124.5;1735.567
125;1743.299
125.5;1751.032
126;1758.764
126.5;1766.496
127;1774.229
127.5;1781.961
128;1789.694
