Depth;ProjArea;StraightLength;StraightWidth;WLRatio
0.5;0.0293;0.4516;0.0839;0.18578388
0.5;0.0133;0.1748;0.0953;0.545194508
0.5;0.0545;0.8465;0.0852;0.100649734
0.5;0.0497;0.4585;0.1403;0.305997819
0.5;0.0406;0.2518;0.2316;0.919777601
0.5;0.0446;0.2669;0.2266;0.849007119
0.5;0.058;0.4811;0.1472;0.305965496
0.5;0.0592;0.5331;0.1677;0.314575127
0.5;0.0548;0.3361;0.2803;0.833977983
0.5;0.0556;0.3061;0.2332;0.761842535
0.5;0.0039;0.1119;0.0481;0.429848079
0.5;0.0443;0.3132;0.1965;0.627394636
0.5;0.0358;0.2375;0.1925;0.810526316
0.5;0.0456;0.6851;0.0996;0.145380236
0.5;0.0789;0.6458;0.1433;0.221895324
0.5;0.0332;0.3539;0.1444;0.408024866
0.5;0.077;0.7178;0.143;0.199219838
0.5;0.0612;0.6086;0.1353;0.222313506
0.5;0.004;0.1876;0.0354;0.18869936
0.5;0.0454;0.3909;0.1384;0.354054745
0.5;0.0222;0.4905;0.0528;0.10764526
0.5;0.0151;0.2447;0.0801;0.3273396
0.5;0.1676;1.4869;0.1427;0.095971484
0.5;0.0108;0.2337;0.0674;0.288403937
0.5;0.0173;0.2552;0.0815;0.319357367
0.5;0.0883;0.505;0.2272;0.44990099
0.5;0.0346;0.2645;0.2027;0.766351607
0.5;0.0921;0.6094;0.2307;0.378569084
0.5;0.0103;0.1559;0.0956;0.613213598
0.5;0.0132;0.1602;0.1251;0.780898876
0.5;0.042;0.4554;0.1298;0.285024155
0.5;0.0168;0.1923;0.1583;0.823192928
0.5;0.0912;0.5556;0.2173;0.391108711
0.5;0.0563;0.3658;0.2138;0.584472389
0.5;0.0701;0.5897;0.1738;0.294726132
0.5;0.0239;0.2091;0.1453;0.694882831
0.5;0.0833;0.6922;0.1584;0.228835597
0.5;0.0587;0.8171;0.1197;0.146493697
0.5;0.0296;0.2236;0.2111;0.944096601
0.5;0.034;0.2867;0.1743;0.607952564
0.5;0.0018;0.0904;0.025;0.276548673
0.5;0.0354;0.2954;0.1903;0.644211239
0.5;0.0093;0.372;0.0396;0.106451613
0.5;0.1098;0.4685;0.3165;0.675560299
0.5;0.0112;0.238;0.0751;0.315546218
0.5;0.0212;0.1822;0.1647;0.903951701
0.5;0.1211;0.8648;0.1985;0.22953284
0.5;0.0563;0.3435;0.2762;0.804075691
0.5;0.2666;0.8096;0.4442;0.548666008
0.5;0.0801;0.4995;0.2592;0.518918919
0.5;0.0708;0.3578;0.2843;0.794577977
1.5;0.037;0.2798;0.1752;0.626161544
1.5;0.0773;0.7503;0.1716;0.228708517
1.5;0.0215;0.1954;0.1615;0.826509724
1.5;0.0015;0.0717;0.0358;0.49930265
1.5;0.0288;0.5595;0.0638;0.114030384
1.5;0.026;0.269;0.1469;0.546096654
1.5;0.0241;0.5124;0.0605;0.118071819
1.5;0.0172;0.3045;0.0956;0.313957307
1.5;0.0573;0.4471;0.1781;0.398344889
1.5;0.083;0.6512;0.1893;0.290694103
1.5;0.1064;0.4929;0.2901;0.588557517
1.5;0.0178;0.3575;0.0874;0.244475524
1.5;0.0032;0.1384;0.0354;0.255780347
1.5;0.0029;0.0852;0.0478;0.561032864
1.5;0.0315;0.2584;0.1854;0.71749226
1.5;0.0199;0.2552;0.1168;0.457680251
1.5;0.0298;0.223;0.1999;0.896412556
1.5;0.0284;0.3938;0.1153;0.292788217
1.5;0.2351;0.7617;0.4039;0.530261258
1.5;0.0008;0.0516;0.0285;0.552325581
1.5;0.0164;0.1626;0.1403;0.862853629
1.5;0.0059;0.1168;0.0761;0.651541096
1.5;0.0071;0.1306;0.0681;0.52143951
1.5;0.0167;0.3168;0.0761;0.240214646
1.5;0.0638;1.1548;0.0683;0.059144441
1.5;0.0041;0.1168;0.0531;0.454623288
1.5;0.1296;0.6185;0.2867;0.463540825
1.5;0.0084;0.2335;0.0516;0.220985011
1.5;0.0035;0.1119;0.0481;0.429848079
1.5;0.0014;0.0807;0.0202;0.250309789
1.5;0.0399;0.428;0.1301;0.303971963
1.5;0.0653;0.5956;0.1552;0.260577569
1.5;0.0044;0.1748;0.0358;0.204805492
1.5;0.0195;0.2563;0.1197;0.467030823
1.5;0.0223;0.3685;0.0902;0.244776119
1.5;0.0291;0.5034;0.0751;0.149185538
1.5;0.0356;0.3974;0.1196;0.300956215
1.5;0.0478;0.3151;0.2106;0.668359251
1.5;0.0392;0.6625;0.0963;0.145358491
1.5;0.1137;0.482;0.3459;0.717634855
1.5;0.0951;0.877;0.1455;0.165906499
1.5;0.0517;0.3305;0.2228;0.674130106
1.5;0.0397;0.2608;0.1925;0.738113497
1.5;0.04;0.5542;0.1009;0.182064237
1.5;0.1324;0.5434;0.2937;0.54048583
1.5;0.0275;0.8004;0.056;0.069965017
1.5;0.0077;0.21;0.0595;0.283333333
1.5;0.1878;0.7587;0.338;0.44549888
1.5;0.0893;0.4347;0.3043;0.700023004
1.5;0.1299;0.4693;0.3661;0.780098018
1.5;0.0205;0.376;0.0761;0.202393617
1.5;0.1658;0.667;0.3391;0.508395802
1.5;0.1244;0.6837;0.2747;0.401784408
1.5;0.0613;0.3346;0.262;0.783024507
1.5;0.0401;0.5074;0.1148;0.226251478
1.5;0.2463;0.7244;0.4614;0.636940917
