Depth;Age
0;-54.869
1;-48.214
2;-42.174
3;-36.188
4;-30.196
5;-24.185
6;-18.177
7;-12.151
8;-6.099
9;0.007
10;6.136
11;23.611
12;40.943
13;58.252
14;75.224
15;91.36
16;107.059
17;123.045
18;138.391
19;153.898
20;168.75
21;189.374
22;212.293
23;239.411
24;263.518
25;285.127
26;308.731
27;328.965
28;350.819
29;370.187
30;386.992
31;406.774
32;427.499
33;449.19
34;473.156
35;496.04
36;520.862
37;546.66
38;570.05
39;592.834
40;614.056
41;632.211
42;649.672
43;668.41
44;687.995
45;709.58
46;732.247
47;756.832
48;782.593
49;807.043
50;828.003
51;842.56
52;859.165
53;875.061
54;892.345
55;908.36
56;924.019
57;939.088
58;957.179
59;975.659
60;993.479
61;1003.044
62;1013.175
63;1022.183
64;1030.633
65;1038.348
66;1046.209
67;1054.153
68;1061.751
69;1068.127
70;1075.466
71;1083.477
72;1092.186
73;1102.116
74;1111.662
75;1122.095
76;1131.466
77;1139.502
78;1147.379
79;1156.202
80;1165.51
81;1175.902
82;1184.942
83;1194.797
84;1205.779
85;1215.464
86;1226.956
87;1236.962
88;1247.735
89;1256.662
90;1266.64
91;1275.803
92;1284.676
93;1294.329
94;1304.541
95;1315.436
96;1326.181
97;1335.569
98;1346.508
99;1355.182
100;1364.929
101;1374.662
102;1384.361
103;1394.666
104;1405.333
105;1416.168
106;1426.647
107;1438.629
108;1450.742
109;1461.455
110;1471.727
111;1479.495
112;1487.418
113;1496.861
114;1505.226
115;1513.544
116;1521.28
117;1529.059
118;1537.661
119;1546.757
120;1556.164
121;1563.472
122;1570.796
123;1578.055
124;1584.498
125;1591.029
126;1597.375
127;1603.203
128;1609.529
129;1614.476
130;1619.653
131;1628.794
132;1637.933
133;1647.641
134;1655.495
135;1663.378
136;1670.334
137;1679.092
138;1686.993
139;1693.924
140;1700.541
141;1709.343
142;1717.049
143;1725.555
144;1734.211
145;1741.787
146;1749.297
147;1757.845
148;1765.018
149;1772.792
150;1779.203
151;1786.992
152;1795.522
153;1804.339
154;1812.705
155;1821.652
156;1829.794
157;1837.835
158;1846.558
159;1854.491
160;1862.044
161;1870.277
162;1879.398
163;1887.935
164;1897.653
165;1905.118
166;1913.256
167;1919.728
168;1928.307
169;1936.741
170;1944.184
171;1951.243
172;1960.129
173;1968.484
174;1977.911
175;1987.333
176;1995.555
177;2003.089
178;2011.595
179;2020.152
180;2028.218
181;2036.023
182;2045.118
183;2055.104
184;2063.881
185;2072.573
186;2080.842
187;2088.566
188;2095.876
189;2103.956
190;2112.802
191;2120.408
192;2128.404
193;2136.141
194;2145.087
195;2153.802
196;2161.394
197;2170.16
198;2178.651
199;2187.357
200;2194.148
201;2200.909
202;2208.536
203;2217.284
204;2225.214
205;2233.673
206;2242.391
207;2250.617
208;2258.031
209;2265.632
210;2273.05
211;2280.97
212;2288.674
213;2296.961
214;2305.369
215;2315.157
216;2322.304
217;2332.078
218;2340.595
219;2349.664
220;2357.892
221;2365.256
222;2373.935
223;2380.554
224;2387.8
225;2396.841
226;2404.944
227;2414.076
228;2422.844
229;2431.067
230;2440.187
231;2446.883
232;2454.956
233;2462.781
234;2470.101
235;2478.27
236;2486.142
237;2494.245
238;2501.846
239;2510.253
240;2518.623
241;2526.399
242;2534.858
243;2542.402
244;2550.299
245;2558.615
246;2566.281
247;2575.395
248;2583.648
249;2592.149
250;2599.229
251;2608.635
252;2618.525
253;2627.582
254;2635.733
255;2643.884
256;2652.699
257;2662.415
258;2670.838
259;2679.535
260;2687.807
261;2695.469
262;2704.049
263;2712.315
264;2721.045
265;2729.269
266;2737.375
267;2745.58
268;2753.8
269;2760.96
270;2768.968
271;2776.793
272;2785.471
273;2793.028
274;2801.896
275;2811.907
276;2820.97
277;2829.875
278;2838.883
279;2848.07
280;2856.358
281;2863.257
282;2870.849
283;2879.649
284;2887.416
285;2895.13
286;2904.103
287;2912.634
288;2921.018
289;2928.95
290;2937.107
291;2946.035
292;2954.04
293;2962.311
294;2971.053
295;2979.558
296;2989.692
297;2998.693
298;3006.707
299;3015.605
300;3024.015
301;3031.92
302;3039.34
303;3047.105
304;3055.192
305;3064.374
306;3072.387
307;3081.464
308;3089.823
309;3098.965
310;3106.325
311;3114.539
312;3123.268
313;3131.55
314;3140.52
315;3149.73
316;3157.321
317;3165.836
318;3173.123
319;3180.419
320;3186.999
321;3190.191
322;3193.291
323;3196.237
324;3199.422
325;3202.66
326;3206.149
327;3209.317
328;3212.341
329;3215.443
330;3218.319
331;3220.666
332;3222.847
333;3225.48
334;3228.104
335;3230.36
336;3233.354
337;3235.518
338;3238.395
339;3241.486
340;3243.971
341;3246.596
342;3249.517
343;3252.133
344;3255.098
345;3257.614
346;3260.061
347;3262.476
348;3265.336
349;3267.829
350;3270.876
351;3273.669
352;3276.116
353;3278.909
354;3281.639
355;3284.261
356;3286.89
357;3289.452
358;3291.429
359;3294.036
360;3296.702
361;3299.024
362;3301.776
363;3304.464
364;3307.772
365;3310.428
366;3313.223
367;3316.155
368;3319.061
369;3321.799
370;3324.275
371;3327.376
372;3330.458
373;3333.354
374;3336.456
375;3339.8
376;3342.718
377;3345.442
378;3347.973
379;3350.799
380;3353.354
381;3356.216
382;3358.884
383;3361.318
384;3363.709
385;3366.284
386;3369.04
387;3372.058
388;3375.213
389;3378.225
390;3381.049
391;3383.308
392;3385.608
393;3388.217
394;3390.37
395;3393.18
396;3395.781
397;3398.075
398;3401.045
399;3403.605
400;3406.041
401;3408.183
402;3410.518
403;3413.084
404;3415.38
405;3418.528
406;3421.352
