"Site","theta[1]25%","theta[1]50%","theta[1]75%","theta[2]25%","theta[2]50%","theta[2]75%","mu[1]25%","mu[1]50%","mu[1]75%","mu[2]25%","mu[2]50%","mu[2]75%","WL[1]25%","WL[1]50%","WL[1]75%","WL[2]25%","WL[2]50%","WL[2]75%","sigma[1]25%","sigma[1]50%","sigma[1]75%","sigma[2]25%","sigma[2]50%","sigma[2]75%","lambda25%","lambda50%","lambda75%","Prop.WL.gt.0.5","meanWL"
"AZL",0.94501375,0.9618505,0.97553875,0.024461475,0.038149,0.054986025,-2.1893325,-2.08831,-1.9867425,0.5408985,0.6789345,0.84867525,0.113154953581038,0.122472712051089,0.132554126282089,0.634072279096287,0.66661670183788,0.704887995893837,0.823412,0.9014265,0.97791575,0.64397475,0.7447665,0.8530145,-0.096287175,-0.0590631,-0.01670945,0.0340136054421769,0.164183673469388
"BOC",0.76230525,0.7992645,0.84243075,0.15756925,0.2007355,0.23769475,-0.81571125,-0.7787445,-0.739155,0.49057125,0.586326,0.71221175,0.315129971573361,0.32242067738257,0.33036076261962,0.623982111143215,0.64777068921307,0.678400596879506,0.7672955,0.8013875,0.839442,0.78524975,0.833666,0.8783465,-0.15539475,-0.1267395,-0.09936745,0.28508242862887,0.403485846401287
"DINA",0.97636075,0.9882615,0.9951615,0.004838445,0.01173835,0.0236394,-1.9131475,-1.79672,-1.6831875,0.592689,0.74724,0.92985775,0.128249338065134,0.141887542933437,0.156328617156292,0.643907748972095,0.678464916625469,0.716884980373222,0.59835025,0.676431,0.759652,0.60328475,0.7262785,0.84994575,-0.05684175,0.00184238,0.0641657,0,0.1587265625
"DKL",0.69238425,0.7377595,0.791868,0.208132,0.2622405,0.30761575,-0.78483825,-0.7438385,-0.69399725,0.50362975,0.6075135,0.743144,0.318404134848461,0.326846002751432,0.33729721167087,0.625764557049183,0.650859829512896,0.682703484022208,0.8076395,0.8324875,0.86195675,0.79580275,0.8406125,0.8764285,-0.096998825,-0.08024315,-0.0642916,0.339208173690932,0.424390872711792
"DKL(b)",0.0087858725,0.01694925,0.0287423,0.971258,0.983051,0.99121425,-1.813265,-1.610815,-1.4020025,0.81196275,0.8629725,0.912669,0.143257864225768,0.169211717041093,0.199866237010899,0.693612921438598,0.704483193677568,0.714863140296523,0.60160525,0.715437,0.831416,0.88753925,0.939511,0.99107,-0.059746575,-0.0153488,0.026820075,0.809716599190283,0.669031983805668
"DTO",0.9358685,0.955895,0.9710225,0.028977375,0.04410515,0.064131725,-2.1556,-2.03721,-1.9249475,0.57005025,0.70787,0.87127375,0.10499704065791,0.116514697786191,0.128441737164998,0.638981819934982,0.670236418921838,0.705446968206987,0.66194625,0.744386,0.82951675,0.63838925,0.742522,0.85495375,-0.05412125,-0.005511835,0.04526325,0.0326086956521739,0.152726086956522
"ELI",0.99107625,0.9945465,0.99708625,0.00291387,0.005453385,0.008923665,-1.8313075,-1.7602,-1.68929,0.58746875,0.738408,0.9111215,0.145286067412724,0.153764520313297,0.162640693132584,0.644266920560941,0.678886351750516,0.716424891431861,0.6864845,0.736361,0.791876,0.59414375,0.709877,0.8305645,-0.074693875,-0.03691515,0.00303784,0.00712589073634204,0.176816152019002
"ESB",0.9881355,0.9940745,0.99747225,0.0025278225,0.005925705,0.011864375,-1.96836,-1.860525,-1.7571725,0.58246125,0.7424225,0.92174325,0.12313884049383,0.135197139274986,0.147678254673273,0.641741231512075,0.677691643749543,0.715636072360475,0.55015325,0.613565,0.68125725,0.60563475,0.7227285,0.84220875,-0.056586,-0.002758125,0.0525549,0,0.149434615384615
"FBA",0.222718,0.282986,0.34026,0.65974,0.717014,0.777282,-0.76812675,-0.6239085,-0.553866,0.420249,0.454347,0.5101945,0.313775873404012,0.346748317028258,0.363246688348981,0.602549582602137,0.610520892460765,0.623421470258412,0.522046,0.609976,0.77086775,0.8634065,0.926228,0.978904,-0.0061696975,0.0476135,0.089553125,0.510791366906475,0.522189568345324
"GBL",0.782699,0.8248265,0.86562275,0.13437725,0.1751735,0.217301,-1.51552,-1.416215,-1.3245475,0.50433475,0.6071455,0.73691375,0.211004799131266,0.223981648176197,0.236650736290514,0.630069349319027,0.656701318124344,0.689818341987294,0.75812225,0.8454195,0.93263425,0.62153225,0.708446,0.8023555,-0.2669335,-0.206084,-0.13980925,0.168067226890756,0.318268067226891
