"Site","Depth","ProjArea","StraightLength","StraightWidth","WLRatio","Volume","Age","keep"
"AZL",2,0.0082,0.2737,0.0458,0.1673,1,2010.749,TRUE
"AZL",2,0.0299,0.663,0.0651,0.0982,1,2010.749,TRUE
"AZL",2,0.0589,0.4577,0.1638,0.3579,1,2010.749,TRUE
"AZL",2,0.0649,0.6379,0.1638,0.2568,1,2010.749,TRUE
"AZL",2,0.0804,0.6721,0.1448,0.2154,1,2010.749,TRUE
"AZL",2,0.1137,0.9813,0.1552,0.1582,1,2010.749,TRUE
"AZL",2,0.1668,0.828,0.2553,0.3083,1,2010.749,TRUE
"AZL",4,0.0015,0.067,0.0248,0.3701,1,2006.764,TRUE
"AZL",4,0.0113,0.2817,0.0685,0.2432,1,2006.764,TRUE
"AZL",4,0.0174,0.7674,0.0324,0.0422,1,2006.764,TRUE
"AZL",4,0.0229,0.4508,0.0745,0.1653,1,2006.764,TRUE
"AZL",4,0.0277,0.4839,0.0873,0.1804,1,2006.764,TRUE
"AZL",4,0.0305,0.7282,0.0648,0.089,1,2006.764,TRUE
"AZL",4,0.0491,0.6045,0.2182,0.361,1,2006.764,TRUE
"AZL",4,0.0508,1.0597,0.0788,0.0744,1,2006.764,TRUE
"AZL",4,0.0589,0.5506,0.151,0.2742,1,2006.764,TRUE
"AZL",4,0.07,0.7529,0.1278,0.1697,1,2006.764,TRUE
"AZL",4,0.079,1.0497,0.0902,0.0859,1,2006.764,TRUE
"AZL",4,0.0802,1.4875,0.0906,0.0609,1,2006.764,TRUE
"AZL",4,0.0804,0.9873,0.1301,0.1318,1,2006.764,TRUE
"AZL",4,0.0885,0.7157,0.1789,0.25,1,2006.764,TRUE
"AZL",4,0.0926,1.5068,0.1084,0.0719,1,2006.764,TRUE
"AZL",4,0.094,1.2887,0.0966,0.075,1,2006.764,TRUE
"AZL",4,0.1041,0.5472,0.2514,0.4594,1,2006.764,TRUE
"AZL",4,0.1109,1.5397,0.1031,0.067,1,2006.764,TRUE
"AZL",4,0.1135,1.2437,0.1138,0.0915,1,2006.764,TRUE
"AZL",4,0.1279,1.0816,0.1578,0.1459,1,2006.764,TRUE
"AZL",4,0.2398,1.5606,0.1838,0.1178,1,2006.764,TRUE
"AZL",5,0.0263,0.5408,0.2132,0.3942,1,2005.419,TRUE
"AZL",5,0.0278,0.4785,0.1025,0.2142,1,2005.419,TRUE
"AZL",5,0.0286,1.0892,0.0469,0.0431,1,2005.419,TRUE
"AZL",5,0.0315,0.8099,0.0543,0.067,1,2005.419,TRUE
"AZL",5,0.0347,0.6573,0.1323,0.2013,1,2005.419,TRUE
"AZL",5,0.037,0.8717,0.0809,0.0928,1,2005.419,TRUE
"AZL",5,0.045,1.4385,0.0687,0.0478,1,2005.419,TRUE
"AZL",5,0.047,0.6338,0.1347,0.2125,1,2005.419,TRUE
"AZL",5,0.0669,0.9292,0.1154,0.1242,1,2005.419,TRUE
"AZL",5,0.0742,1.2029,0.0854,0.071,1,2005.419,TRUE
"AZL",5,0.0854,0.5523,0.1811,0.3279,1,2005.419,TRUE
"AZL",6,0.0207,0.6629,0.0808,0.1219,1,2004.065,TRUE
"AZL",6,0.0216,0.5457,0.067,0.1228,1,2004.065,TRUE
"AZL",6,0.0689,0.8656,0.1107,0.1279,1,2004.065,TRUE
"AZL",7,0.0091,0.5108,0.0248,0.0486,1,2002.876,TRUE
"AZL",7,0.0333,1.0301,0.0483,0.0469,1,2002.876,TRUE
"AZL",7,0.039,1.6235,0.0457,0.0281,1,2002.876,TRUE
"AZL",7,0.0391,1.2639,0.0805,0.0637,1,2002.876,TRUE
"AZL",7,0.0396,1.6892,0.0484,0.0287,1,2002.876,TRUE
"AZL",7,0.0396,0.9926,0.1297,0.1307,1,2002.876,TRUE
"AZL",7,0.0417,0.638,0.1271,0.1992,1,2002.876,TRUE
"AZL",7,0.0446,1.1812,0.0538,0.0455,1,2002.876,TRUE
"AZL",7,0.0587,0.977,0.0914,0.0936,1,2002.876,TRUE
"AZL",7,0.0629,1.5305,0.0591,0.0386,1,2002.876,TRUE
"AZL",7,0.0753,1.1962,0.097,0.0811,1,2002.876,TRUE
"AZL",7,0.0905,1.0253,0.1086,0.1059,1,2002.876,TRUE
"AZL",7,0.0905,1.5147,0.1125,0.0743,1,2002.876,TRUE
"AZL",7,0.1122,1.3985,0.1048,0.0749,1,2002.876,TRUE
"AZL",7,0.1407,1.9306,0.1577,0.0817,1,2002.876,TRUE
"AZL",7,0.1439,2.2102,0.102,0.0461,1,2002.876,TRUE
"AZL",8,0.0117,0.5845,0.0437,0.0748,1,2001.722,TRUE
