"Depth","Age","Counts","Concentration","AreaConcentration","meanWL","Prop.WL.gt.0.5","P_W_lower","P_W","P_W_upper","P_H_lower","P_H","P_H_upper"
0.5,-61.652,51,102,5.2998,0.464247201843137,0.431372549019608,0.468339474712808,0.526046811967218,0.583441114438799,0.416558885561201,0.473953188032782,0.531660525287192
1.5,-54.611,73,146,10.121,0.445308339260274,0.438356164383562,0.520912062931549,0.577135720547358,0.633401902242606,0.366598097757394,0.422864279452642,0.479087937068451
2.5,-47.57,57,114,10.3048,0.467008856526316,0.491228070175439,0.535479661831446,0.584901547243065,0.638296051272133,0.361703948727867,0.415098452756935,0.464520338168554
3.5,-40.529,63,126,9.1308,0.429594047809524,0.428571428571429,0.438608588073295,0.481847247387377,0.526668322841864,0.473331677158136,0.518152752612623,0.561391411926705
4.5,-33.488,46,92,5.5428,0.367976595782609,0.260869565217391,0.319922949804933,0.35723739329408,0.394286061479227,0.605713938520773,0.64276260670592,0.680077050195067
5.5,-26.447,56,112,3.7822,0.361825425696429,0.25,0.238932333754834,0.277792785204478,0.312135251080262,0.687864748919738,0.722207214795522,0.761067666245166
6.5,-19.406,29,58,3.5154,0.353470708310345,0.241379310344828,0.233762751623268,0.277380911727717,0.314791621186676,0.685208378813324,0.722619088272283,0.766237248376732
7.5,-12.364,23,46,2.3856,0.392487932130435,0.260869565217391,0.297465286215188,0.346901214090815,0.392595187225035,0.607404812774965,0.653098785909185,0.702534713784812
8.5,-5.323,48,96,4.9292,0.4014727023125,0.375,0.341556737849369,0.397637846209771,0.452712958553316,0.547287041446684,0.602362153790229,0.658443262150631
9.5,1.718,24,48,2.7678,0.399437864416667,0.375,0.364179971393639,0.423383393638657,0.482585950168188,0.517414049831812,0.576616606361343,0.635820028606361
10.5,8.971,46,92,2.6698,0.426616099847826,0.369565217391304,0.349430653832446,0.409454704448421,0.466554998041209,0.533445001958791,0.590545295551579,0.650569346167554
11.5,16.436,25,50,3.3138,0.33851346084,0.2,0.331237814082465,0.386083953075447,0.439195372327574,0.560804627672425,0.613916046924553,0.668762185917535
12.5,23.9,60,120,5.684,0.4048919749,0.4,0.327346323982396,0.377719019895999,0.425758051179555,0.574241948820445,0.622280980104001,0.672653676017604
13.5,31.365,35,70,2.8692,0.3437843674,0.257142857142857,0.285657677281661,0.330725109182558,0.371952674095188,0.628047325904812,0.669274890817442,0.714342322718339
14.5,38.83,48,96,3.6698,0.3339962676875,0.1875,0.203927351791199,0.245020616461193,0.280192903095993,0.719807096904007,0.754979383538807,0.796072648208801
15.5,46.295,25,50,3.924,0.3955290232,0.32,0.276143302096261,0.317187837831988,0.35752960258519,0.64247039741481,0.682812162168012,0.723856697903739
16.5,53.76,27,54,2.065,0.400190295740741,0.333333333333333,0.425676778077666,0.478022417562498,0.531600457679895,0.468399542320105,0.521977582437502,0.574323221922334
17.5,61.225,54,108,5.2748,0.458448087425926,0.462962962962963,0.411010501461314,0.467243517115032,0.525251533872565,0.474748466127435,0.532756482884968,0.588989498538687
18.5,68.689,30,60,3.5976,0.3653614995,0.3,0.359889364914449,0.418840252320948,0.47786014449924,0.522139855500759,0.581159747679052,0.640110635085551
19.5,76.154,16,32,2.5864,0.25555313225,0.0625,0.310366323522584,0.367507391405217,0.427278405528849,0.572721594471151,0.632492608594783,0.689633676477416
20.5,88.519,47,94,4.5896,0.338003985382979,0.234042553191489,0.240618161198264,0.294721841594374,0.350542677987578,0.649457322012422,0.705278158405626,0.759381838801736
21.5,105.784,32,64,4.598,0.414674371125,0.40625,0.258808628957174,0.309490178622357,0.361972511318192,0.638027488681808,0.690509821377643,0.741191371042826
22.5,123.05,29,58,3.525,0.308358680655172,0.172413793103448,0.281441001960945,0.328603022569856,0.37436759493377,0.62563240506623,0.671396977430144,0.718558998039055
23.5,140.315,48,96,5.3304,0.377602112354167,0.270833333333333,0.264817030042134,0.302910575017049,0.340055319092393,0.659944680907607,0.697089424982951,0.735182969957866
24.5,157.58,62,124,6.8238,0.350803090951613,0.290322580645161,0.345711583138141,0.383115145963304,0.417576648917939,0.582423351082061,0.616884854036696,0.654288416861859
25.5,174.845,25,50,3.2488,0.45125807208,0.4,0.408786027193141,0.447034448267498,0.481973989408101,0.518026010591899,0.552965551732503,0.591213972806859
26.5,192.11,46,92,4.1856,0.366317651804348,0.326086956521739,0.382062291653516,0.415974221075792,0.447244912863399,0.552755087136601,0.584025778924208,0.617937708346484
27.5,209.375,47,94,7.0122,0.312047957191489,0.191489361702128,0.231897185821217,0.257473284965579,0.281270277340021,0.718729722659979,0.742526715034421,0.768102814178782
28.5,226.641,57,114,2.3622,0.206187341385965,0.0526315789473684,0.110667018670691,0.13496547689713,0.152262849458033,0.847737150541967,0.86503452310287,0.889332981329309
29.5,243.906,34,68,2.5132,0.298484861529412,0.176470588235294,0.103968131667629,0.128776659723274,0.145234103098055,0.854765896901945,0.871223340276726,0.896031868332371
30.5,267.015,49,98,4.1602,0.247547958530612,0.102040816326531,0.11610971964459,0.141026847775041,0.158129231557145,0.841870768442855,0.85897315222496,0.88389028035541
31.5,295.969,29,58,2.9102,0.280717032758621,0.172413793103448,0.253782602270389,0.281756638173335,0.305868329950109,0.694131670049891,0.718243361826665,0.746217397729611
32.5,324.923,45,90,3.936,0.447142759511111,0.422222222222222,0.423516339020709,0.462223057176747,0.497165668396334,0.502834331603666,0.537776942823253,0.576483660979291
33.5,353.877,29,58,2.6928,0.421853898344828,0.448275862068966,0.4760419813412,0.520243461202507,0.561244777451503,0.438755222548497,0.479756538797493,0.5239580186588
34.5,382.831,54,108,3.8952,0.304356570351852,0.222222222222222,0.28457684710951,0.317306954261218,0.345690602516886,0.654309397483114,0.682693045738782,0.71542315289049
35.5,411.785,67,134,7.2102,0.262103894671642,0.134328358208955,0.106290777806067,0.127555355076279,0.147117271339544,0.852882728660456,0.872444644923721,0.893709222193933
