"Fuel","Site","mu","mediane","Q1","Q3","mode","sigma","transformation"
"Grass","DINA",0.172,0.148,0.105,0.213,0.09,0.099,"Original"
"Grass","ELI",0.192,0.165,0.112,0.24,0.184,0.112,"Original"
"Grass","ESB",0.191,0.167,0.107,0.247,0.135,0.112,"Original"
"Grass","NDA",0.156,0.132,0.092,0.19,0.106,0.098,"Original"
"Grass","DINA",-1.824,-1.867,-2.313,-1.368,-1.712,0.727,"Transformed"
"Grass","ELI",-1.687,-1.715,-2.231,-1.203,-1.826,0.778,"Transformed"
"Grass","ESB",-1.704,-1.703,-2.282,-1.158,-1.474,0.804,"Transformed"
"Grass","NDA",-1.969,-2.015,-2.479,-1.53,-2.215,0.748,"Transformed"
"Tree","DKL",0.677,0.702,0.55,0.821,0.732,0.187,"Original"
"Tree","DKL",0.824,0.831,0.199,1.445,0.478,0.938,"Transformed"
