"Site","category","class","totalarea","area_1fire","prop_1fire","area_2fires","prop_2fires","Weighted_mean_fire","TC1m","TC10m"
"AZL","Water","1",28028,NA,0,NA,0,0,0.000551633742747984,0.00107035821321536
"AZL","Bare Soil","2",521,NA,0,NA,0,0,0,0
"AZL","Urban Area","3",4,NA,0,NA,0,0,0,0
"AZL","Fields","4",87967,10421,0.118464878875033,2713,0.0308411108711221,0.333765931746703,0.0118559586547584,0.00501324360271465
"AZL","Savanna","5",209198,119904,0.573160355261523,66835,0.319482021816652,2.15616362155556,0.0436674108783404,0.197296341265213
"AZL","Dense Savanna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZL","Tree Crops","7",16694,161,0.00964418353899605,24,0.00143764226668264,0.0227304509946568,0.0562899702015965,0.0820654127231341
"AZL","Wetland","8",61056,NA,0,NA,0,0,0.0925160062776555,0.44426428197065
"AZL","Inundated forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZL","Forest","10",48483,NA,0,NA,0,0,0.964256135104294,0.87255326609327
"BOC","Water","1",19,NA,0,NA,0,0,0,0.947368421052632
"BOC","Bare Soil","2",4527,306,0.0675944333996024,72,0.0159045725646123,0.193355585134711,0.0479700411290512,0
"BOC","Urban Area","3",44,NA,0,NA,0,0,0.00154079107398337,0
"BOC","Fields","4",73987,17582,0.237636341519456,6421,0.0867855163744982,0.721482507544837,0.0465530804539316,0.0411423628475273
"BOC","Savanna","5",67450,25309,0.37522609340252,12280,0.182060785767235,1.41826051552089,0.0529140276286191,0.140845070422535
"BOC","Dense Savanna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOC","Tree Crops","7",12010,NA,0,NA,0,0,0.456352141685884,0.825811823480433
"BOC","Wetland","8",11968,9024,0.754010695187166,6041,0.504762700534759,3.673261496343,0.0132710467306089,0.000919117647058824
"BOC","Inundated forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOC","Forest","10",66823,437,0.0065396644867785,NA,0,0.0140061759549838,0.640572624383082,0.900752734836808
"DINA","Water","1",9407,NA,0,NA,0,0,0.0133267585370765,0.149250558095036
"DINA","Bare Soil","2",9,1,0.111111111111111,1,0.111111111111111,0.351602554321289,0.152747434460455,0
"DINA","Urban Area",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINA","Fields",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINA","Savanna","5",36923,32211,0.872383067464724,27562,0.746472388484143,3.31336653520565,0.00266237573393151,0.00950626980472876
"DINA","Dense Savanna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINA","Tree Crops",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINA","Wetland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINA","Inundated forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DINA","Forest","10",709958,46,6.47925651939974e-05,NA,0,0.000151964421899981,0.986940720867561,0.999022477385986
"DKL","Water","1",707,513,0.725601131541726,393,0.555869872701556,3.7635541812028,0.0251744292433203,0.0099009900990099
"DKL","Bare Soil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DKL","Urban Area","3",344,91,0.26453488372093,6,0.0174418604651163,0.593308533000392,0.0342122593523696,0
"DKL","Fields","4",232937,136314,0.585196855802213,88703,0.380802534590898,2.91567979251237,0.0498316999871855,0.00759432808012467
"DKL","Savanna","5",196,161,0.821428571428571,157,0.801020408163265,9.60647455526858,0.0535668157584839,0.428571428571429
"DKL","Dense Savanna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DKL","Tree Crops",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DKL","Wetland","8",20209,1178,0.0582908605076946,293,0.0144984907714385,0.241027495249818,0.297938649092771,0.39744668217131
"DKL","Inundated forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DKL","Forest","10",115783,2498,0.0215748425934723,490,0.00423205479215429,0.0533571561564012,0.907769601246364,0.695274781271862
"DTO","Water","1",5802,NA,0,NA,0,0,1.20723752965602e-05,0.00499827645639435
"DTO","Bare Soil","2",341,NA,0,NA,0,0,0.0117426774099427,0.0117302052785924
"DTO","Urban Area","3",8509,NA,0,NA,0,0,0.0134147138290127,0
"DTO","Fields","4",113316,NA,0,NA,0,0,0.113570655171599,0.119100568322214
"DTO","Savanna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DTO","Dense Savanna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DTO","Tree Crops","7",176190,NA,0,NA,0,0,0.743234839111242,0.408842726601964
"DTO","Wetland","8",10070,NA,0,NA,0,0,0.0950163169457597,0.30635551142006
"DTO","Inundated forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DTO","Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELI","Water","1",16601,576,0.03469670501777,21,0.0012649840371062,0.0795846312284886,0,0
"ELI","Bare Soil","2",13,NA,0,NA,0,0,0.000105715186621707,0
"ELI","Urban Area",NA,NA,NA,NA,NA,NA,NA,NA,NA
