"Site","TC1m_1000_sav","TC1m_2000_sav","TC1m_3000_sav","TC1m_4000_sav","TC1m_5000_sav","TC10m_1000_sav","TC10m_2000_sav","TC10m_3000_sav","TC10m_4000_sav","TC10m_5000_sav","TC1m_1000_savagr","TC1m_2000_savagr","TC1m_3000_savagr","TC1m_4000_savagr","TC1m_5000_savagr","TC10m_1000_savagr","TC10m_2000_savagr","TC10m_3000_savagr","TC10m_4000_savagr","TC10m_5000_savagr","TC1m_1000_burned_once","TC1m_2000_burned_once","TC1m_3000_burned_once","TC1m_4000_burned_once","TC1m_5000_burned_once","TC10m_1000_burned_once","TC10m_2000_burned_once","TC10m_3000_burned_once","TC10m_4000_burned_once","TC10m_5000_burned_once","TC1m_1000_burned_weighted_mean","TC1m_2000_burned_weighted_mean","TC1m_3000_burned_weighted_mean","TC1m_4000_burned_weighted_mean","TC1m_5000_burned_weighted_mean","TC10m_1000_burned_weighted_mean","TC10m_2000_burned_weighted_mean","TC10m_3000_burned_weighted_mean","TC10m_4000_burned_weighted_mean","TC10m_5000_burned_weighted_mean"
"NON",0.0333583294314889,0.0387904670337484,0.0466341485343205,0.0450465885777752,0.0482350986658559,0.699512195121951,0.806185017328712,0.686349457405211,0.516711525328406,0.519650465648276,0.0203837246427921,0.0384032885966698,0.0704518337096201,0.091021749325502,0.103756412415863,0.295564958470459,0.399429549343982,0.558302654921706,0.583766859601387,0.618949933525624,0.0196059957125974,0.13038603400532,0.108649053443416,0.0931244960530614,0.0834458090156577,0.257675438596491,0.52249577724318,0.622661083446507,0.564393939393939,0.573999381799266,0.0181731331161684,0.117460527002765,0.0983683885433395,0.0827331454967214,0.0745135204061571,0.268728897206708,0.516418113531985,0.624442738129659,0.550956054731389,0.561439669573215
"BOC",0.0324713563461356,0.0413846060991454,0.0581133558248361,0.0579692724122175,0.0529140276286191,0.15438950554995,0.175612848689772,0.183508226454204,0.133482418260333,0.140845070422535,0.0561862246724699,0.0838111333228699,0.122378170272719,0.101914643914868,0.0926759092786133,0.242706032779263,0.2142808038681,0.212319261395514,0.175860925321983,0.162525699435846,0.0307586697611931,0.0256936864310796,0.0486780734248363,0.0513971370152054,0.0390024901483865,0.00694789081885856,0.0153407845715538,0.0479056810267635,0.0345615139015125,0.0246156130617314,0.0252209765344214,0.02235558876933,0.0440607301361882,0.0435905027717645,0.0340386868030576,0.00561036242139214,0.0126529080899179,0.039613467693114,0.0251683614437709,0.0180906453115337
"NIAK",0.0793062106575008,0.119285907655874,0.13744591226825,0.139653706402578,0.150664264130748,0.140715109573241,0.251142204454597,0.314997680429452,0.358810838251158,0.365975637936157,0.0877083269198884,0.102759551464609,0.116033517179781,0.124008485840083,0.128351505085132,0.177547770700637,0.174988518995435,0.205264428881913,0.259952126680169,0.287923869289931,0.0875474888866469,0.0903942277411372,0.0903087902425674,0.0999488956475927,0.112472616146439,0.134730703636464,0.136210762331839,0.178789729086994,0.227829428386531,0.267808143706781,0.0836407111426076,0.0834581623818418,0.0846756881672361,0.0950102772697701,0.107847868086008,0.127352959629986,0.129600463278011,0.180254242301652,0.237170335982368,0.284643512281306
"NAP",0.0141806585510121,0.0456524826804274,0.0643065210370322,0.0691387603226904,0.0687216528279886,0.201465201465201,0.298184961106309,0.474362345516697,0.452219040801718,0.380008971291866,0.0329826533756171,0.0405706297167553,0.0559676794243623,0.0587529061393805,0.0592839330291502,0.0363369963369963,0.0698417575664465,0.0919600922657922,0.0804371131168517,0.0879554040969757,0.00730817033736794,0.056832845287931,0.0878932632324307,0.09642525159434,0.0689853241856431,0,0.120338983050847,0.237660721692244,0.106393483090595,0.0965081819353176,0.00779433153043792,0.0582512843933365,0.0914958784804276,0.0956306742395568,0.0664275960684529,0,0.126999167443717,0.222688415282803,0.0881336840605492,0.0925270366797536
"NIN",0.114915567613732,0.0993566919217622,0.18281168564484,0.261246402886016,0.36340849228241,1,0.570162481536189,0.578107606679035,0.608972657286966,0.668142181987619,0.12890605222345,0.122276228615077,0.144895731856227,0.132064303127114,0.143752540623716,0.217839140916064,0.299576619273302,0.313203028314035,0.313467259130066,0.312431769720797,NA,0.0977061809771135,0.0837378448455345,0.0803407231719933,0.173800988218355,NA,0.075968992248062,0.115112994350282,0.189755929872809,0.344969925698785,NA,0.0860577728216829,0.077287901737961,0.081784960450232,0.146000467614005,NA,0.0571678871497423,0.102003200014885,0.203818783006387,0.324201543727746
"DTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319250607815628,0.322834122737322,0.348314287211003,0.399660042150071,0.445560641256804,0.214305394831102,0.219358913627033,0.232615934153416,0.264685614278162,0.281306640213765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLE",0.00807260703168326,0.00175030805299077,0.00460054162160987,0.00597079426348595,0.0119654665043413,0,0.0383162439287642,0.0594151611100764,0.131091578086672,0.19741792696422,0.0124297293080419,0.0329785579845273,0.0330557083469035,0.0328317054628265,0.0353181137843529,0.0367305458768873,0.0328429161317187,0.0351361171293617,0.0575539816417591,0.0778319214333908,NA,0.000212584754255801,0.00391906615641523,0.0062345315385021,0.0108984997017648,NA,0,0.019327731092437,0.0637107875099616,0.115688726018538,NA,0.000160584638752979,0.00363635859342734,0.00555795425551463,0.0100636327422906,NA,0,0.0185186123950137,0.0686140746840401,0.124962953286329
"AZL",0.0170440283265053,0.0554875743905267,0.0541240182115351,0.0448254229876659,0.0436674108783404,0.0562130177514793,0.497275454601114,0.321077672907319,0.229499275829447,0.197296341265213,0.0171119269723362,0.0550896542717959,0.0496082196206873,0.0393168946973867,0.0354000809408005,0.074398249452954,0.320591651294664,0.196535296665223,0.140475018459267,0.114640364117508,NA,0.0304338121422534,0.0345294538583193,0.0267191318187211,0.0282871602437013,NA,0.0614634146341463,0.0813863530868018,0.0606750731169392,0.0737580708920806,NA,0.027536376232604,0.0333659834950208,0.0257137566394165,0.0258049983577896,NA,0.0470533806638095,0.0698740050000385,0.0539905168405474,0.063679474467554
"FBA",0.475789298214412,0.317336465050919,0.295331153792845,0.2558455166228,0.219921195276061,0.944914230490457,0.923866778886618,0.924849198929344,0.892283406072987,0.896410463046909,0.414146643190473,0.179492614402365,0.142859293678534,0.118314573263426,0.113594045744893,0.820374135827572,0.442553319375294,0.372435234991212,0.342199389017579,0.390712579962633,0.291905535300668,0.178122458026932,0.158452537607734,0.149648172395912,0.145647891444415,0.974022125642039,0.789486903480445,0.707985775748529,0.689585908529048,0.714647296073751,0.232670380116896,0.156843992291268,0.152294078875135,0.149849054131053,0.145737532614951,0.977520248312716,0.834597191829674,0.785328275099679,0.773004340037334,0.781070108479293
"GRO",0.0605415870609372,0.0575394371988281,0.0564862614533805,0.0518670536338912,0.0467093239656243,0.695945945945946,0.861434108527132,0.867883528900478,0.761286201022147,0.802092307692308,0.0739534697267183,0.0788213230866823,0.0932296520853831,0.0938564161330644,0.0955004520396745,0.295931452553043,0.34746009862665,0.343907333309302,0.311533523609908,0.322936361526993,0.0105457080462433,0.043161496786019,0.0540186200992859,0.0569252047103833,0.0618159309931105,0,0.510968080914226,0.464281326781327,0.415085080703988,0.487320681587219,0.00633785276803736,0.0411681473481064,0.0522993746806189,0.0550086077877351,0.059802129264512,0,0.531633930725944,0.48300759100548,0.432754877423957,0.506037565249737
